Nombre,Correspondencia,ID,Tiempo,Flujo
GARIBALDI/LAGUNILLA,Estacion Terminal y Correspondencia Linea B,101,5,3.686
BELLAS ARTES,Correspondencia Linea 2,31,3,3.791
SAN JUAN DE LETRAN,N/A,102,0,5.691
SALTO DEL AGUA,Correspondencia Linea 1,9,3,2.947
DOCTORES,N/A,103,0,2.889
OBRERA,N/A,104,0,2.861
CHABACANO,Correspondencia Linea 2 y 9,35,4,0.884
LA VIGA,N/A,105,0,1.365
SANTA ANITA,Correspondencia Linea 4,71,3,1.385
COYUYA,N/A,106,0,4.998
IZTACALCO,N/A,107,0,4.454
APATLACO,N/A,108,0,3.565
ACULCO,N/A,109,0,1.896
ESCUADRON 201,N/A,110,0,4.617
ATLALILCO,Correspondencia Linea 12,111,10,3.178
IZTAPALAPA,N/A,112,0,2.38
CERRO DE LA ESTRELLA,N/A,113,0,2.205
UAM-I,N/A,114,0,5.281
CONSTITUCION DE 1917,N/A,115,0,18.327
