Nombre,Correspondencia,ID,Tiempo,Flujo
OBSERVATORIO,Estacion Terminal,1,0,13.343
TACUBAYA,Correspondencia Linea 7 y 9,2,2,6.867
JUANACATLAN,N/A,3,0,1.776
CHAPULTEPEC,N/A,4,0,9.954
SEVILLA,N/A,5,0,5.801
INSURGENTES,N/A,6,0,10.606
CUAHUTEMOC,N/A,7,0,4.394
BALDERAS,Correspondencia Linea 3,8,2,4.132
SALTO DEL AGUA,Correspondencia Linea 8,9,3,4.817
ISABEL LA CATOLICA,N/A,10,0,4.559
PINO SUAREZ,Correspondencia Linea 2,11,5,8.03
MERCED,N/A,12,0,9.672
CANDELARIA,Correspondencia Linea 4,13,4,7.286
SAN LAZARO,Correspondencia Linea B,14,4,6.05
MOCTEZUMA,N/A,15,0,4.764
BALBUENA,N/A,16,0,2.734
BOULEVARD PUERTO AEREO,N/A,17,0,5.516
GOMEZ FARIAS,N/A,18,0,7.637
ZARAGOZA,N/A,19,0,10.007
PANTITLAN,Estacion Terminal y Correspondencia Linea A 5 y 9,20,6,13.653
