Nombre,Correspondencia,ID,Tiempo,Flujo
PANTITLAN,Estacion Terminal y Correspondencia Linea 1 9 y A,20,6,20.569
HANGARES,N/A,72,0,0.777
TERMINAL AEREA,N/A,73,0,3.943
OCEANIA,Correspondencia Linea B,74,4,2.539
ARAGON,N/A,75,0,1.433
EDUARDO MOLINA,N/A,76,0,1.288
CONSULADO,Correspondencia Linea 4,66,4,1.281
VALLE GOMEZ,N/A,77,0,0.864
MISTERIOS,N/A,78,0,1.471
LA RAZA,Correspondencia Linea 3,47,5,2.23
AUTOBUSES DEL NORTE,N/A,79,0,4.478
INSTITUTO DEL PETROLEO,Correspondencia Linea 6,80,5,1.243
POLITECNICO,Estacion Terminal,81,0,6.696
