Nombre,Correspondencia,ID,Tiempo,Flujo
MIXCOAC,Estacion Terminal y Correspondencia Linea 7,99,5,2.916
INSURGENTES SUR,N/A,148,0,6.447
HOSPITAL 20 DE NOVIEMBRE,N/A,149,0,2.23
ZAPATA,Correspondencia Linea 3,57,6,2.545
PARQUE DE LOS VENADOS,N/A,150,0,2.146
EJE CENTRAL,N/A,151,0,2.075
ERMITA,Correspondencia Linea 2,41,8,2.121
MEXICALTZINGO,N/A,152,0,3.842
ATLALILCO,Correspondencia Linea 8,111,10,2.943
CULHUACAN,N/A,153,0,3.733
SAN ANDRES TOMATLAN,N/A,154,0,2.088
LOMAS ESTRELLA,N/A,155,0,2.436
CALLE 11,N/A,156,0,3.36
PERIFERICO ORIENTE,N/A,157,0,7.283
TEZONCO,N/A,158,0,5.401
OLIVOS,N/A,159,0,3.955
NOPALERA,N/A,160,0,5.42
ZAPOTITLAN,N/A,161,0,3.179
TLALTENCO,N/A,162,0,0.774
TLAHUAC,N/A,163,0,13.311
