Nombre,Correspondencia,ID,Tiempo,Flujo
CUATRO CAMINOS,Estacion Terminal,21,0,22.591
PANTEONES,N/A,22,0,2.274
TACUBA,Linea 7,23,3,7.713
CUITLAHUAC,N/A,24,0,3.796
POPOTLA,N/A,25,0,1.438
COLEGIO MILITAR,N/A,26,0,2.73
NORMAL,N/A,27,0,6.467
SAN COSME,N/A,28,0,4.314
REVOLUCION,N/A,29,0,5.408
HIDALGO,Correspondencia Linea 3,30,3,5.57
BELLAS ARTES,Correspondencia Linea 8,31,3,5.74
ALLENDE,N/A,32,0,4.048
ZOCALO/TENOCHTITLAN,N/A,33,3,7.158
PINO SUAREZ,Correspondencia Linea 1,11,5,5.768
SAN ANTONIO ABAD,N/A,34,0,4.573
CHABACANO,Correspondencia Linea 8 y 9,35,4,6.707
VIADUCTO,N/A,36,0,4.256
XOLA,N/A,37,0,4.241
VILLA DE CORTES,N/A,38,0,2.972
NATIVITAS,N/A,39,0,4.533
PORTALES,N/A,40,0,4.757
ERMITA,Correspondencia Linea 12,41,8,3.2
GENERAL ANAYA,N/A,42,0,3.657
TASQUEÑA,Estacion Terminal,43,0,13.781
