Nombre,Correspondencia,ID,Tiempo,Flujo
EL ROSARIO,Estacion Terminal y Correspondencia Linea 7,82,6,3.331
TEZOZOMOC,N/A,83,0,1.017
UAM AZCAPOTZALCO,N/A,84,0,1.794
FERRERIA/ARENA CIUDAD DE MEXICO,N/A,85,0,4.222
NORTE 45,N/A,86,0,1.493
VALLEJO,N/A,87,0,2.111
INSTITUTO DEL PETROLEO,Correspondencia Linea 5,80,5,0.565
LINDAVISTA,N/A,88,0,2.722
DEPORTIVO 18 DE MARZO,Correspondencia Linea 3,45,4,0.291
LA VILLA/BASILICA,N/A,89,0,2.386
MARTIN CARRERA,Estacion Terminal y Correspondencia Linea 4,63,4,6.149
