Nombre,Correspondencia,ID,Tiempo,Flujo
EL ROSARIO,Estacion Terminal y Correspondencia Linea 6,82,6,7.108
AQUILES SERDAN,N/A,90,0,2.993
CAMARONES,N/A,91,0,3.118
REFINERIA,N/A,92,0,1.895
TACUBA,Correspondencia Linea 2,23,3,1.614
SAN JOAQUIN,N/A,93,0,5.87
POLANCO,N/A,94,0,6.178
AUDITORIO,N/A,95,0,5.425
CONSTITUYENTES,N/A,96,0,1.145
TACUBAYA,Correspondencia Linea 9,2,2,1.228
SAN PEDRO DE LOS PINOS,N/A,97,0,2.715
SAN ANTONIO,N/A,98,0,2.567
MIXCOAC,Correspondencia Linea 12,99,5,4.867
BARRANCA DEL MUERTO,N/A,100,0,8.238
